intent,text
MOVIE_QUERY,I want to need movie suggestions
GOODBYE,That's all for now
GOODBYE,Later?
MOVIE_QUERY,Documentary recommendations
MOVIE_QUERY,Suggest a good film!
GOODBYE,Bye bye?
GOODBYE,Bye for now
GOODBYE,Have a good one
MOVIE_QUERY,I want to watch something
GREETING,Howdy?
CHITCHAT,Makes sense
MOVIE_QUERY,Audience favorites
CHITCHAT,How have you been?
MOVIE_QUERY,Silent films
OTHER,IT help
REJECT,Not my thing?
GREETING,Hey there friend
OTHER,Add to cart
MOVIE_QUERY,What are the best movies of all time?
MOVIE_QUERY,Spin offs
CHITCHAT,Where are you from!
MOVIE_QUERY,Show me drama movies?
GOODBYE,See ya!
MOVIE_QUERY,Can you classic films
CHITCHAT,what are your capabilities
GREETING,Can you hey
MOVIE_QUERY,recent blockbusters
GOODBYE,Cya?
REJECT,That's not what I want
REJECT,I reject that
CHITCHAT,I see
GOODBYE,Catch you later!
OTHER,Recipe for pasta
OTHER,Dog training
MOVIE_QUERY,Critics choice movies
CHITCHAT,Can you do you have a name
OTHER,I want to shopping cart
CHITCHAT,what's your name
GOODBYE,Can you see you
CHITCHAT,Can you are you a robot
MOVIE_QUERY,I like science fiction!
OTHER,What's the capital of France!
CHITCHAT,Do you sleep
OTHER,Fix my computer
GOODBYE,later
GREETING,Hey mate
CHITCHAT,Do you remember me
GOODBYE,Ttyl
GREETING,GOOD AFTERNOON
GREETING,Hello how are you doing
GREETING,Good morning?
REJECT,That's wrong
MOVIE_QUERY,Sequels
REJECT,Hold on
GREETING,Hey there!
REJECT,I'LL PASS
OTHER,Current events
OTHER,WRITE A PROGRAM
REJECT,I DON'T THINK SO
MOVIE_QUERY,what should i watch
CHITCHAT,Do you eat
OTHER,Can you add to cart
GOODBYE,Signing off
CHITCHAT,I want to what are you doing
GREETING,Good morning
OTHER,Can you calculate this
GOODBYE,Farewell
OTHER,Find me a hotel?
MOVIE_QUERY,I want to recommend me a movie
MOVIE_QUERY,Adventure films
GREETING,Can you hiya
CHITCHAT,How have you been!
GOODBYE,Catch you later
OTHER,Buy groceries
REJECT,i changed my mind
REJECT,False
OTHER,Can you fix my computer
OTHER,Can you what's the capital of france
REJECT,nope
OTHER,Solve this math problem?
CHITCHAT,Are you a robot!
GREETING,Hi again
GOODBYE,SEE YOU
GOODBYE,Have a good day?
GOODBYE,Stay safe
MOVIE_QUERY,best comedy films
REJECT,Not a chance
GREETING,Hello how are you doing?
CHITCHAT,what can you do
MOVIE_QUERY,AWARD WINNING FILMS
REJECT,Absolutely not
OTHER,find me a hotel
MOVIE_QUERY,need movie suggestions
OTHER,Learn guitar
REJECT,Not useful
GOODBYE,Ttyl!
MOVIE_QUERY,movies from the 90s
OTHER,I want to fix my computer
GREETING,evening
REJECT,I disagree
CHITCHAT,Yep
GOODBYE,Cya!
CHITCHAT,Can you how are you doing
GREETING,How's it going
REJECT,forget it
REJECT,I want to on second thought no
OTHER,Write a program?
CHITCHAT,Are you human!
MOVIE_QUERY,Sports films
GOODBYE,Have a good day
OTHER,I want to book a flight
MOVIE_QUERY,What's popular right now!
REJECT,Nevermind?
REJECT,No way
GOODBYE,Until next time
REJECT,NO THANKS
MOVIE_QUERY,Can you i want to watch something
REJECT,THAT'S NOT WHAT I WANT
GREETING,Hi how are you
GREETING,Pleased to meet you
MOVIE_QUERY,Movie series
REJECT,Not for me?
OTHER,Ocean creatures
GREETING,good morning
MOVIE_QUERY,Can you recommend me a movie
REJECT,Nope!
GREETING,Can you hi how are you
MOVIE_QUERY,What movie won Oscar
OTHER,Blank
GREETING,hi there
GOODBYE,See you later!
OTHER,Order pizza
OTHER,Book a flight
GREETING,Evening!
GOODBYE,Have a good one!
OTHER,Government policy
CHITCHAT,I want to what's your name
MOVIE_QUERY,TRENDING MOVIES
OTHER,I want to geography question
REJECT,I don't want that!
MOVIE_QUERY,Can you top rated movies
OTHER,Save money tips
GOODBYE,Peace
GOODBYE,I want to catch you later
CHITCHAT,I want to are you ai
GOODBYE,Can you cheers
MOVIE_QUERY,Studio Ghibli
OTHER,Calculate this!
OTHER,Solve this math problem!
CHITCHAT,I want to how old are you
MOVIE_QUERY,What's The Godfather about
REJECT,NOT INTERESTED
OTHER,Financial planning
CHITCHAT,Interesting
REJECT,No
CHITCHAT,I want to tell me about yourself
OTHER,Investment advice
REJECT,NOPE
CHITCHAT,What's up!
OTHER,Speak Spanish?
OTHER,I want to order pizza
MOVIE_QUERY,Short films
GOODBYE,Bye bye
OTHER,Can you order pizza
OTHER,Philosophy question
MOVIE_QUERY,Revolutionary cinema
CHITCHAT,Can you tell me about yourself
CHITCHAT,Alright
CHITCHAT,What do you think
MOVIE_QUERY,Black and white movies
REJECT,Skip that!
GOODBYE,Take care?
MOVIE_QUERY,Movies similar to Interstellar
MOVIE_QUERY,What should I watch?
MOVIE_QUERY,I want to watch something?
OTHER,I want to debug this code
CHITCHAT,tell me about yourself
REJECT,Nope?
REJECT,I want to nevermind
REJECT,Untrue
MOVIE_QUERY,RECOMMEND THRILLER MOVIES
OTHER,Geography question!
MOVIE_QUERY,Classic films?
MOVIE_QUERY,Modern cinema
GOODBYE,Can you bye bye
CHITCHAT,That's helpful
MOVIE_QUERY,Feel good movies
OTHER,What's the capital of France?
REJECT,I want to nope
MOVIE_QUERY,Suggest a good film?
OTHER,Code in Python?
GOODBYE,Goodbye?
CHITCHAT,what are you up to
OTHER,write a program
CHITCHAT,Can you what can you do
MOVIE_QUERY,Box office hits
CHITCHAT,Can you are you human
REJECT,Forget it
MOVIE_QUERY,What are the best movies of all time!
MOVIE_QUERY,I want to classic films
OTHER,debug this code
CHITCHAT,HOW ARE YOU
OTHER,add to cart
CHITCHAT,Can you what are you doing
OTHER,Can you solve this math problem
REJECT,Can you not interested
MOVIE_QUERY,Tell me about Inception
REJECT,I changed my mind?
OTHER,calculate this
GREETING,What's up
GOODBYE,I want to until next time
MOVIE_QUERY,Suggest a good film
CHITCHAT,Appreciate it
MOVIE_QUERY,Japanese movies
CHITCHAT,What's your name
OTHER,Geography question
CHITCHAT,Are you a robot
OTHER,Gardening tips
GREETING,Hello once more
GREETING,hello there
OTHER,What's 2 plus 2
MOVIE_QUERY,NEED MOVIE SUGGESTIONS
REJECT,That sounds bad
CHITCHAT,Nice
CHITCHAT,What's the date
OTHER,I want to code in python
MOVIE_QUERY,TOP RATED MOVIES
REJECT,Cancel
REJECT,I changed my mind!
OTHER,How to ask someone out
MOVIE_QUERY,Can you what's a good action movie
GREETING,Hi there
GREETING,Hello movie bot
MOVIE_QUERY,Love story films
CHITCHAT,WHAT ARE YOU UP TO
GREETING,hello how are you doing
OTHER,FIND ME A HOTEL
CHITCHAT,Can you who are you
OTHER,What happened
MOVIE_QUERY,Banned movies
CHITCHAT,What are you up to!
REJECT,not interested in that
CHITCHAT,Can you what's your name
OTHER,Fix my car
GOODBYE,I want to ttyl
CHITCHAT,Perfect
MOVIE_QUERY,Can you movies with high imdb rating
GREETING,I want to greetings
OTHER,history fact
CHITCHAT,Can you what are you up to
CHITCHAT,I want to who are you
GOODBYE,Have a good day!
CHITCHAT,Can you how do you work
CHITCHAT,What are you up to
MOVIE_QUERY,What should I watch!
GREETING,hi how are you
OTHER,Fashion advice
REJECT,i'll pass
REJECT,I DON'T LIKE IT
OTHER,Medical advice
CHITCHAT,Can you where do you live
REJECT,Not interested?
GREETING,Good day
OTHER,fix my computer
MOVIE_QUERY,Can you what are the best movies of all time
OTHER,SOLVE THIS MATH PROBLEM
MOVIE_QUERY,Can you suggest a good film
GREETING,Hey what's up
CHITCHAT,Who made you
CHITCHAT,I want to where are you from
MOVIE_QUERY,What's a good action movie!
MOVIE_QUERY,I want to top rated movies
OTHER,Is this illegal
GREETING,What's up?
CHITCHAT,You're cool
MOVIE_QUERY,Plot twist movies
GOODBYE,Ttyl?
MOVIE_QUERY,Trending movies!
OTHER,Solve this math problem
REJECT,I don't think so!
REJECT,I don't think so
REJECT,Can you i don't like it
CHITCHAT,Correct
GOODBYE,FAREWELL
CHITCHAT,What are your capabilities!
REJECT,Not for me
CHITCHAT,What are your capabilities
REJECT,Stop it
GOODBYE,TAKE CARE
OTHER,shopping cart
CHITCHAT,Can you how's it going
CHITCHAT,I want to do you have a name
MOVIE_QUERY,Top rated movies!
OTHER,I want to write a program
CHITCHAT,Can you think
OTHER,Can you geography question
MOVIE_QUERY,classic films
MOVIE_QUERY,What's a good action movie
GOODBYE,bye bye
GREETING,EVENING
OTHER,Can you learn french
MOVIE_QUERY,Show me drama movies!
REJECT,I want to not interested
OTHER,Who won the game
MOVIE_QUERY,Can you movies from the 90s
GREETING,Yo
OTHER,RESERVE A TABLE
REJECT,I want to i'll pass
CHITCHAT,I want to where do you live
REJECT,No thanks
MOVIE_QUERY,Who directed Pulp Fiction
REJECT,NOT MY THING
REJECT,Can you not my thing
MOVIE_QUERY,WHAT SHOULD I WATCH
MOVIE_QUERY,Comic book movies
REJECT,Not really
GREETING,I want to morning
GOODBYE,LATER
MOVIE_QUERY,Superhero movies
OTHER,Pet care
CHITCHAT,Are you sad
GOODBYE,Alright I'm out
CHITCHAT,What's the weather like
OTHER,Translate this!
MOVIE_QUERY,RECENT BLOCKBUSTERS
GREETING,Can you yo
MOVIE_QUERY,looking for a movie
OTHER,Baking tips
CHITCHAT,How are you doing!
REJECT,I DON'T WANT THAT
OTHER,Reserve a table?
REJECT,actually no
OTHER,book a flight
GREETING,Can you what's up
MOVIE_QUERY,Historical films
OTHER,DIY projects
MOVIE_QUERY,Highest grossing movies
GOODBYE,I want to see you
CHITCHAT,What can you do!
CHITCHAT,Thanks
GOODBYE,Catch you later?
MOVIE_QUERY,WHAT'S A GOOD ACTION MOVIE
CHITCHAT,Can you what are your capabilities
REJECT,I want to skip that
REJECT,Definitely not
CHITCHAT,What do you like
REJECT,not for me
GREETING,HOWDY
OTHER,Home improvement
GREETING,I want to sup
CHITCHAT,how have you been
GOODBYE,take care
OTHER,ORDER PIZZA
REJECT,i don't think so
GREETING,Salutations
CHITCHAT,where are you from
GREETING,Can you hey there
MOVIE_QUERY,Must watch films
CHITCHAT,TELL ME ABOUT YOURSELF
