intent,text
MOVIE_QUERY,What year was Titanic released??
MOVIE_QUERY,Please show me leonardo dicaprio films
MOVIE_QUERY,Can you suggest some animation films?
MOVIE_QUERY,I want to know give me some horror movie suggestions
MOVIE_QUERY,Tell me what's the plot of interstellar?
MOVIE_QUERY,Can you how long is the lord of the rings??
MOVIE_QUERY,What are the best war movies??
MOVIE_QUERY,Tell me what are some good horror movies?
CHITCHAT,Quick question: are you a robot?
GREETING,Hi
REJECT,Forget it!
GREETING,Good to see you there
MOVIE_QUERY,Can you can you recommend a comedy??
OTHER,What's the stock market?
CHITCHAT,"Hey, are you human?"
CHITCHAT,Quick question: are you intelligent?
GOODBYE,"Alright, gotta go"
CHITCHAT,Quick question: what's the weather like?
REJECT,"I'll pass, that's not right"
GOODBYE,"Have a good day, that was helpful"
MOVIE_QUERY,What's a good family movie?
GREETING,Hello there there
GOODBYE,Until we meet again!
MOVIE_QUERY,Is The Shawshank Redemption good?
GOODBYE,Alright bye!!
GOODBYE,Sleep well!
GREETING,"Hi assistant, can you help me?"
OTHER,What's the weather in Paris?
CHITCHAT,I'm bored?
CHITCHAT,Tell me about yourself
GOODBYE,Until next time!
GREETING,"Ni hao, can you help me?"
MOVIE_QUERY,Tell me recommend me a movie
MOVIE_QUERY,Please show me romantic comedies
GOODBYE,"See ya, thanks for your help"
GREETING,Hey chatbot
MOVIE_QUERY,Tell me give me thriller recommendations
MOVIE_QUERY,Tell me can you recommend a comedy?
CHITCHAT,Quick question: how's the weather?
GREETING,Welcome!!
GOODBYE,"Thanks, peace out"
GREETING,"Heya, how are you?"
GOODBYE,"Cya, thanks for your help"
OTHER,How to play guitar?
GOODBYE,"Bye bye, that was helpful"
GOODBYE,"Alright, sleep well"
CHITCHAT,"Hey, how are you?"
MOVIE_QUERY,Tell me what's a good family movie?
MOVIE_QUERY,I want to know show me classic movies
REJECT,"Skip that, that's not right"
MOVIE_QUERY,Can you recommend a comedy?
CHITCHAT,Can you think??
GOODBYE,Good night
MOVIE_QUERY,What's the plot of Interstellar?
GREETING,Morning!
GREETING,Konnichiwa there
MOVIE_QUERY,Suggest some old movies?
GREETING,What's up!!
GOODBYE,Have a great day
REJECT,"Stop, try again"
GOODBYE,I have to go!
GREETING,"Bonjour, how are you?"
MOVIE_QUERY,Please what are the highest rated movies?
GOODBYE,Take care!
MOVIE_QUERY,Please what are the highest rated movies?
MOVIE_QUERY,I want to know tell me about the dark knight
MOVIE_QUERY,Tell me what are the top rated dramas?
CHITCHAT,Are you intelligent??
GREETING,"Hey man, can you help me?"
MOVIE_QUERY,Tell me recommend a romantic movie
GREETING,Evening!!
MOVIE_QUERY,I want to know list comedy films
MOVIE_QUERY,Please what are good 2000s movies?
MOVIE_QUERY,Tell me is the shawshank redemption good?
GOODBYE,Sweet dreams
GOODBYE,"Alright, au revoir"
MOVIE_QUERY,Tell me show me action movies
GREETING,Yo
MOVIE_QUERY,Please give me some horror movie suggestions
GOODBYE,"Alright, talk to you later"
MOVIE_QUERY,I want to know what are critically acclaimed films?
GREETING,"Good to see you, can you help me?"
GOODBYE,"See ya, that was helpful"
GREETING,Greetings human!!
GOODBYE,"Alright, ok bye"
MOVIE_QUERY,What did Christopher Nolan direct??
OTHER,Tell me about politics
MOVIE_QUERY,Tell me what are some good drama films?
REJECT,Absolutely not!
GOODBYE,"Have a good day, thanks for your help"
GOODBYE,"Thanks, goodbye"
MOVIE_QUERY,I want to know what are the best movies from the 90s?
MOVIE_QUERY,Please what's the rating of inception?
GOODBYE,"Farewell, that was helpful"
REJECT,Not really!
MOVIE_QUERY,Tell me i need a movie for tonight
REJECT,"Next, that's not right"
GREETING,Hey man!!
GREETING,Good day
REJECT,I disagree
MOVIE_QUERY,Please what's the imdb rating of forrest gump?
GOODBYE,Bye!!
CHITCHAT,How are you??
GOODBYE,"Ok bye, thanks for your help"
MOVIE_QUERY,I want to know recommend me a movie
MOVIE_QUERY,Show me classic movies?
MOVIE_QUERY,What's the IMDB rating of Forrest Gump??
OTHER,What is cryptocurrency?
GREETING,Hey man!
CHITCHAT,What can you do?
MOVIE_QUERY,Tell me what are some good horror movies?
REJECT,Negative!
OTHER,How to learn programming?
REJECT,No thank you
GREETING,"Nice to meet you, can you help me?"
MOVIE_QUERY,Please what are good mystery films?
GREETING,Oh hi assistant
OTHER,Tell me about history
MOVIE_QUERY,I want to know who directed the godfather?
GOODBYE,Until next time!!
CHITCHAT,I'm tired
MOVIE_QUERY,What are Brad Pitt's best movies?
MOVIE_QUERY,Suggest some animated films
GOODBYE,"Later, that was helpful"
GOODBYE,See ya!
MOVIE_QUERY,Please what's a good family movie?
MOVIE_QUERY,What's the plot of Interstellar?
MOVIE_QUERY,Tell me what are brad pitt's best movies?
CHITCHAT,How are you doing??
REJECT,"Cancel that, I mean something else"
MOVIE_QUERY,Suggest some old movies?
REJECT,Not good!
GOODBYE,Sleep well
OTHER,How to improve memory?
MOVIE_QUERY,I want to know tell me about the dark knight
GREETING,"Hi there, can you help me?"
GREETING,Hello bot
GOODBYE,Gotta go!!
GREETING,Heya!!
GREETING,Good evening
GREETING,Hi bot there
GOODBYE,"Alright, adios"
MOVIE_QUERY,Tell me what are the highest rated movies?
GOODBYE,"Take care, thanks for your help"
CHITCHAT,"Hey, what day is it?"
CHITCHAT,Quick question: what are your capabilities?
REJECT,"Skip, I mean something else"
GOODBYE,"Thanks, bye bye"
REJECT,That's incorrect!
